prov_name_en,prov_name_fr,pruid,prov_census_pop,sh_prov_census_pop,prov_ps_pop,sh_prov_ps_pop,prov_appl,sh_prov_appl,can_census_pop,sh_can_census_pop,can_ps_pop,sh_can_ps_pop,can_appl,sh_can_appl,FOL_prov_census_pop,sh_FOL_prov_census_pop,FOL_prov_ps_pop,sh_FOL_prov_ps_pop,FOL_prov_appl,sh_FOL_prov_appl,FOL_can_census_pop,sh_FOL_can_census_pop,FOL_can_ps_pop,sh_FOL_can_ps_pop,FOL_can_appl,sh_FOL_can_appl
Newfoundland and Labrador,Terre-Neuve-et-Labrador,10,18880,6%,90,3%,921,13%,4948830,21%,77529,44%,140643,40%,1850,1%,31,1%,87,1%,1607390,7%,37000,21%,36077,10%
Prince Edward Island,Île-du-Prince-Édouard,11,12000,13%,384,27%,999,23%,4948830,21%,77529,44%,140643,40%,2950,3%,119,8%,162,4%,1607390,7%,37000,21%,36077,10%
Nova Scotia,Nouvelle-Écosse,12,66845,11%,961,12%,2817,17%,4948830,21%,77529,44%,140643,40%,19440,3%,442,6%,554,3%,1607390,7%,37000,21%,36077,10%
New Brunswick,Nouveau-Brunswick,13,212485,44%,3441,53%,8135,52%,4948830,21%,77529,44%,140643,40%,155350,32%,2695,41%,4956,32%,1607390,7%,37000,21%,36077,10%
Quebec,Québec,24,3069115,58%,31455,73%,75248,89%,4948830,21%,77529,44%,140643,40%,877895,17%,14197,33%,15259,18%,1607390,7%,37000,21%,36077,10%
Ontario,Ontario,35,1038285,12%,39699,51%,38385,30%,4948830,21%,77529,44%,140643,40%,396055,4%,18816,24%,11546,9%,1607390,7%,37000,21%,36077,10%
Manitoba,Manitoba,46,72055,9%,437,7%,1954,17%,4948830,21%,77529,44%,140643,40%,26880,3%,183,3%,447,4%,1607390,7%,37000,21%,36077,10%
Saskatchewan,Saskatchewan,47,32960,5%,124,3%,1098,11%,4948830,21%,77529,44%,140643,40%,9150,1%,52,1%,273,3%,1607390,7%,37000,21%,36077,10%
Alberta,Alberta,48,195940,7%,418,4%,5643,17%,4948830,21%,77529,44%,140643,40%,64775,2%,247,3%,1720,5%,1607390,7%,37000,21%,36077,10%
British Columbia,Colombie-Britannique,59,222420,7%,495,3%,5032,14%,4948830,21%,77529,44%,140643,40%,50285,2%,194,1%,934,3%,1607390,7%,37000,21%,36077,10%
Yukon,Yukon,60,3600,14%,11,4%,98,22%,4948830,21%,77529,44%,140643,40%,1235,5%,8,3%,30,7%,1607390,7%,37000,21%,36077,10%
Northwest Territories,Territoires du Nord-Ouest,61,3005,10%,0,0%,201,24%,4948830,21%,77529,44%,140643,40%,1010,3%,0,0%,67,8%,1607390,7%,37000,21%,36077,10%
Nunavut,Nunavut,62,1240,5%,14,7%,112,24%,4948830,21%,77529,44%,140643,40%,515,2%,16,8%,42,9%,1607390,7%,37000,21%,36077,10%
